B30  .     .     .     .   1355    .      .   978     .     .  1356     .     .     .     .
B31 826     .     .  1047      .    .      .   764     .     .  1190   921  1460  1032     .
B32  .     .     .     .      .  609      .     .     .     .  1123     .     .  1229     .
B33 548     .     .     .      .    .      .   889   666     .     .   531     .     .     .
B34 950     .     .   514      .    .      .     .   595     .     .     .     .   696     .
B35  .   886     .     .      .    .      .     .     .     .     .   505  1199     .     .
B36  .     .     .     .      .  1183     .   766     .     .     .     .     .  1149   514
B37 952     .     .     .      .    .      .     .     .   757     .     .  1227     .     .
B38  .  1205     .  1278   1423    .      .     .     .     .     .  1288     .     .     .
B39  .     .   642     .      .    .   1164     .     .     .     .     .     .  1393     .
B40 765     .     .     .   1377    .      .     .  1136     .     .     .     .   821     .
B41  .   577  1056     .      .    .      .   630   969     .     .   993     .     .     .
B42  .     .     .     .   1348    .      .   736     .   809     .     .     .     .   595
B43  .  1437     .     .      .    .      .     .   762     .  1028     .     .     .     .
B44  .  1396     .     .      .    .      .     .  1310     .     .     .     .  1030  1313
B45  .     .     .     .      .    .    775   829   923     .     .     .  1491  1204  1355
B46  .     .     .     .   1045  1161  1331   974   895     .     .     .     .     .     .
B47  .     .   533     .      .  846    980     .     .     .   722     .     .   816     .
B48  .     .     .     .      .    .      .     .     .     .     .   759  1347     .     .
B49  .     .     .     .    717  1205     .     .     .     .     .   751     .     .     .
B50 1073     .     .   904      .    .      .   686     .     .     .     .     .     .     .
B51  .  1332     .     .      .    .      .     .     .  1123     .     .     .     .     .
B52  .     .     .     .      .    .      .     .     .     .     .     .     .     .     .
B53  .     .     .     .    928    .      .     .     .     .     .     .     .     .     .
B54  .   503     .   953      .    .      .   893     .     .  1323     .  1318     .     .
B55  .     .     .     .   1370    .      .  1321     .  1467     .   677     .     .     .
B56  .     .   784  1308      .    .    694     .     .     .     .     .     .     .     .
B57  .  1441     .     .   1080    .      .     .     .     .     .     .     .     .     .
B58  .   801  1419     .      .    .      .     .     .     .     .     .     .     .  1065
B59  .     .     .     .      .  1159  1462  1305     .     .     .     .     .  1106     .
B60  .  1100  1223   963      .    .      .  1458     .     .  1062     .  1001     .     .
B61  .   895     .     .      .    .   1020     .     .     .   856     .     .   825     .
B62  .   588     .     .      .    .   1077     .   503     .     .     .  1446     .     .
B63  .  1448   724  1456      .    .   1428  1261     .     .     .     .     .  1487     .
B64  .  1252     .     .      .    .   1279     .     .     .  1422   858  1131     .     .
B65 902   645     .     .    535    .      .     .   815     .     .     .     .  1118  1009
B66 1445     .     .     .      .  749      .     .     .   983  1261     .  1268     .  1410
B67  .     .     .   796      .    .      .     .     .     .     .     .     .     .     .
B68  .     .     .     .      .    .      .     .     .     .   855     .     .     .   913
B69  .     .     .  1016   1161  1354     .     .     .     .     .  1182     .   786     .
B70  .     .     .     .    629    .    550     .     .     .     .     .     .   829   664
B71  .     .     .     .      .    .      .     .     .     .     .     .     .     .     .
B72  .     .     .   800      .    .      .     .     .     .     .     .     .     .     .
B73  .  1075     .     .    976    .      .     .     .     .     .   813     .   774   533
B74  .     .     .   967      .    .      .     .     .     .     .   691     .     .  1181
B75  .     .     .     .      .    .      .     .     .     .     .     .     .     .   672
B76 647   729     .   865      .    .      .     .   613   514   564     .     .   644     .
B77  .     .     .   578   1031    .      .     .   583  1379  1049     .     .  1267   946
B78  .     .     .     .      .  1227     .     .     .     .     .     .     .     .   549
B79  .     .     .  1486      .  921      .  1189     .     .  1462     .     .  1468     .
;

end;
